2025-12-12 10:42:56 | WARNING  | b795a15c-da56-4e8c-8b8d-41c8f6307d4e | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:56 | WARNING  | b795a15c-da56-4e8c-8b8d-41c8f6307d4e | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:56 | INFO     | fb4079cc-1a37-4d79-8310-040c2e6199bf | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:56 | WARNING  | fb4079cc-1a37-4d79-8310-040c2e6199bf | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:56 | WARNING  | fb4079cc-1a37-4d79-8310-040c2e6199bf | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | b564f2b3-8925-4a31-ae64-ac10d178e744 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | b564f2b3-8925-4a31-ae64-ac10d178e744 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | b564f2b3-8925-4a31-ae64-ac10d178e744 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | 692c7c7e-f80e-479c-998f-e1074dc92c61 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | 692c7c7e-f80e-479c-998f-e1074dc92c61 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | 692c7c7e-f80e-479c-998f-e1074dc92c61 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | b88e9c1a-0d03-40a5-919f-bd243e2b022b | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | b88e9c1a-0d03-40a5-919f-bd243e2b022b | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | b88e9c1a-0d03-40a5-919f-bd243e2b022b | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | 0196a548-247f-4bc3-a6bf-ba87fc4de609 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | 0196a548-247f-4bc3-a6bf-ba87fc4de609 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | 0196a548-247f-4bc3-a6bf-ba87fc4de609 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | 067df4b9-dea2-4c6b-a127-17062c4d7dc1 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | 067df4b9-dea2-4c6b-a127-17062c4d7dc1 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | 067df4b9-dea2-4c6b-a127-17062c4d7dc1 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | fe1c9993-d312-4b92-8bfa-e97dfc8119ce | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | fe1c9993-d312-4b92-8bfa-e97dfc8119ce | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | fe1c9993-d312-4b92-8bfa-e97dfc8119ce | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:57 | INFO     | 6373760f-5fa4-48a9-9b96-e9180ef40188 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:57 | WARNING  | 6373760f-5fa4-48a9-9b96-e9180ef40188 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:57 | WARNING  | 6373760f-5fa4-48a9-9b96-e9180ef40188 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:58 | INFO     | fbbcb2dc-2e4d-440f-a7b9-dce439a825ef | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:58 | WARNING  | fbbcb2dc-2e4d-440f-a7b9-dce439a825ef | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:58 | WARNING  | fbbcb2dc-2e4d-440f-a7b9-dce439a825ef | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:58 | INFO     | 7ba30c12-ed16-4a42-a49f-82e45c3ec030 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:58 | WARNING  | 7ba30c12-ed16-4a42-a49f-82e45c3ec030 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:58 | WARNING  | 7ba30c12-ed16-4a42-a49f-82e45c3ec030 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:58 | INFO     | d5bee2a2-8c83-4fd6-8b6e-49761650f544 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:58 | WARNING  | d5bee2a2-8c83-4fd6-8b6e-49761650f544 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:58 | WARNING  | d5bee2a2-8c83-4fd6-8b6e-49761650f544 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:58 | INFO     | 9f545eca-a8ff-44bf-b92c-1b2eac9b1782 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
2025-12-12 10:42:58 | WARNING  | 9f545eca-a8ff-44bf-b92c-1b2eac9b1782 | slowapi:__evaluate_limits:510 | ratelimit 1 per 1 minute (127.0.0.1) exceeded at endpoint: /
2025-12-12 10:42:58 | WARNING  | 9f545eca-a8ff-44bf-b92c-1b2eac9b1782 | src.core.middlewares.logging:dispatch:126 | Request completed: CLIENT_ERROR - GET /
2025-12-12 10:42:58 | INFO     | 307939a0-930a-4ab7-8ca6-f9babb2475f9 | src.core.middlewares.logging:dispatch:72 | Request started: GET /
